18:37:12; legoDBuddy; [-19, -11]
18:37:17; legoDBuddy; [-19, -11]
18:37:22; legoDBuddy; [-19, -13]
18:37:27; legoDBuddy; [-19, -11]
18:37:32; legoDBuddy; [-19, -12]
18:37:37; legoDBuddy; [-19, -12]
18:37:42; legoDBuddy; [-19, -11]
18:37:47; legoDBuddy; [-19, -11]
18:37:52; legoDBuddy; [-19, -12]
18:37:57; legoDBuddy; [-19, -13]
18:38:02; legoDBuddy; [-21, -13]
18:38:07; legoDBuddy; [-20, -13]
18:38:12; legoDBuddy; [-18, -13]
18:38:17; legoDBuddy; [-16, -14]
18:38:22; legoDBuddy; [-17, -13]
18:38:27; legoDBuddy; [-17, -14]
18:38:32; legoDBuddy; [-15, -15]
18:38:37; legoDBuddy; [-17, -13]
18:38:42; legoDBuddy; [-20, -12]
18:38:47; legoDBuddy; [-18, -5]
18:38:52; legoDBuddy; [-17, 1]
18:38:57; legoDBuddy; [-20, 3]
18:39:02; legoDBuddy; [-20, 2]
18:39:07; legoDBuddy; [-20, 2]
18:39:12; legoDBuddy; [-20, 2]
18:39:17; legoDBuddy; [-20, 2]
18:39:22; legoDBuddy; [-20, 2]
18:39:27; legoDBuddy; [-20, 2]
18:39:32; legoDBuddy; [-20, 2]
18:39:37; legoDBuddy; [-20, 2]
18:39:42; legoDBuddy; [-20, 2]
18:39:47; legoDBuddy; [-20, 2]
18:39:52; legoDBuddy; [-20, 2]
18:39:57; legoDBuddy; [-20, 2]
18:40:02; legoDBuddy; [-20, 2]
18:40:07; legoDBuddy; [-20, 2]
18:40:12; legoDBuddy; [-20, 2]
18:40:17; legoDBuddy; [-21, 2]
18:40:22; legoDBuddy; [-21, 2]
18:40:27; legoDBuddy; [-20, 2]
18:40:32; legoDBuddy; [-20, 2]
18:40:37; legoDBuddy; [-20, 2]
18:40:42; legoDBuddy; [-21, 2]
18:40:47; legoDBuddy; [-21, 2]
18:40:52; legoDBuddy; [-20, 2]
18:40:57; legoDBuddy; [-20, 2]
18:41:02; legoDBuddy; [-20, 2]
18:41:07; legoDBuddy; [-20, 2]
18:41:12; legoDBuddy; [-20, 2]
18:41:17; legoDBuddy; [-20, 2]
18:41:22; legoDBuddy; [-20, 3]
18:41:27; legoDBuddy; [-18, 1]
18:41:32; legoDBuddy; [-19, -6]
18:41:37; legoDBuddy; [-21, -12]
18:41:42; legoDBuddy; [-21, -13]
18:41:47; legoDBuddy; [-21, -13]
18:41:52; legoDBuddy; [-21, -13]
18:41:57; legoDBuddy; [-21, -13]
18:42:02; legoDBuddy; [-21, -13]
18:42:07; legoDBuddy; [-21, -13]
18:42:12; legoDBuddy; [-21, -13]
18:42:17; legoDBuddy; [-21, -13]
18:42:22; legoDBuddy; [-21, -13]
18:42:27; legoDBuddy; [-21, -13]
18:42:32; legoDBuddy; [-21, -13]
18:42:37; legoDBuddy; [-21, -13]
18:42:42; legoDBuddy; [-21, -13]
18:42:47; legoDBuddy; [-21, -13]
18:42:52; legoDBuddy; [-21, -13]
18:42:57; legoDBuddy; [-21, -13]
18:43:02; legoDBuddy; [-21, -13]
18:43:07; legoDBuddy; [-21, -13]
18:43:12; legoDBuddy; [-21, -13]
18:43:17; legoDBuddy; [-21, -13]
18:43:22; legoDBuddy; [-21, -13]
18:43:27; legoDBuddy; [-21, -13]
18:43:32; legoDBuddy; [-21, -13]
18:43:37; legoDBuddy; [-21, -13]
18:43:42; legoDBuddy; [-21, -13]
18:43:47; legoDBuddy; [-21, -13]
18:43:52; legoDBuddy; [-21, -13]
18:43:57; legoDBuddy; [-21, -13]
18:44:02; legoDBuddy; [-21, -13]
18:44:07; legoDBuddy; [-21, -14]
18:44:12; legoDBuddy; [-21, -14]
18:44:17; legoDBuddy; [-21, -13]
18:44:22; legoDBuddy; [-21, -13]
18:44:27; legoDBuddy; [-21, -13]
18:44:32; legoDBuddy; [-21, -13]
18:44:37; legoDBuddy; [-21, -13]
18:44:42; legoDBuddy; [-21, -13]
18:44:47; legoDBuddy; [-21, -13]
18:44:52; legoDBuddy; [-21, -13]
18:44:57; legoDBuddy; [-21, -13]
18:45:02; legoDBuddy; [-21, -13]
18:45:07; legoDBuddy; [-21, -13]
18:45:12; legoDBuddy; [-21, -13]
