18:02:42; legoDBuddy; [-3, -30]
18:02:47; legoDBuddy; [-3, -30]
18:02:52; legoDBuddy; [-3, -30]
18:02:57; legoDBuddy; [-3, -30]
18:03:02; legoDBuddy; [-3, -30]
18:03:07; legoDBuddy; [-3, -30]
18:03:12; legoDBuddy; [-3, -30]
18:03:17; legoDBuddy; [-3, -30]
18:03:22; legoDBuddy; [-3, -30]
18:03:27; legoDBuddy; [-3, -30]
18:03:32; legoDBuddy; [-3, -30]
18:03:37; legoDBuddy; [-3, -30]
18:03:42; legoDBuddy; [-3, -31]
18:03:47; legoDBuddy; [-3, -31]
18:03:52; legoDBuddy; [-3, -31]
18:03:57; legoDBuddy; [-3, -31]
18:04:02; legoDBuddy; [-3, -31]
18:04:07; legoDBuddy; [-3, -31]
18:04:12; legoDBuddy; [-3, -31]
18:04:17; legoDBuddy; [-3, -31]
18:04:22; legoDBuddy; [-3, -32]
18:04:27; legoDBuddy; [-3, -32]
18:04:32; legoDBuddy; [-3, -32]
18:04:37; legoDBuddy; [-3, -32]
18:04:42; legoDBuddy; [-3, -32]
18:04:47; legoDBuddy; [-3, -32]
18:04:52; legoDBuddy; [-3, -32]
18:04:57; legoDBuddy; [-3, -32]
18:05:02; legoDBuddy; [-3, -32]
18:05:07; legoDBuddy; [-3, -32]
18:05:12; legoDBuddy; [-3, -32]
18:05:17; legoDBuddy; [-3, -33]
18:05:22; legoDBuddy; [-3, -33]
18:05:27; legoDBuddy; [-3, -33]
18:05:32; legoDBuddy; [-3, -33]
18:05:37; legoDBuddy; [-3, -33]
18:05:42; legoDBuddy; [-3, -33]
18:05:47; legoDBuddy; [-3, -33]
18:05:52; legoDBuddy; [-3, -33]
18:05:57; legoDBuddy; [-3, -33]
18:06:02; legoDBuddy; [-3, -33]
18:06:07; legoDBuddy; [-3, -33]
18:06:12; legoDBuddy; [-3, -33]
18:06:17; legoDBuddy; [-3, -33]
18:06:22; legoDBuddy; [-3, -33]
18:06:27; legoDBuddy; [-3, -33]
18:06:32; legoDBuddy; [-3, -33]
18:06:37; legoDBuddy; [-3, -33]
18:06:42; legoDBuddy; [-3, -33]
18:06:47; legoDBuddy; [-3, -33]
18:06:52; legoDBuddy; [-3, -33]
18:06:57; legoDBuddy; [-3, -34]
18:07:02; legoDBuddy; [-3, -34]
18:07:07; legoDBuddy; [-3, -34]
18:07:12; legoDBuddy; [-3, -34]
18:07:17; legoDBuddy; [-3, -34]
18:07:22; legoDBuddy; [-3, -34]
18:07:27; legoDBuddy; [-3, -34]
18:07:32; legoDBuddy; [-3, -34]
18:07:37; legoDBuddy; [-3, -34]
18:07:42; legoDBuddy; [-3, -34]
18:07:47; legoDBuddy; [-3, -34]
18:07:52; legoDBuddy; [-3, -35]
18:07:57; legoDBuddy; [-3, -35]
18:08:02; legoDBuddy; [-3, -35]
18:08:07; legoDBuddy; [-3, -35]
18:08:12; legoDBuddy; [-3, -35]
18:08:17; legoDBuddy; [-3, -36]
18:08:22; legoDBuddy; [-3, -36]
18:08:27; legoDBuddy; [-3, -36]
18:08:32; legoDBuddy; [-3, -36]
18:08:37; legoDBuddy; [-3, -36]
18:08:42; legoDBuddy; [-3, -36]
18:08:47; legoDBuddy; [-3, -36]
18:08:52; legoDBuddy; [-3, -36]
18:08:57; legoDBuddy; [-3, -36]
18:09:02; legoDBuddy; [-3, -36]
18:09:07; legoDBuddy; [-3, -36]
18:09:12; legoDBuddy; [-3, -36]
18:09:17; legoDBuddy; [-3, -36]
18:09:22; legoDBuddy; [-3, -36]
18:09:27; legoDBuddy; [-3, -36]
18:09:32; legoDBuddy; [-3, -36]
18:09:37; legoDBuddy; [-3, -37]
18:09:42; legoDBuddy; [-3, -37]
18:09:47; legoDBuddy; [-3, -37]
18:09:52; legoDBuddy; [-3, -37]
18:09:57; legoDBuddy; [-3, -37]
18:10:02; legoDBuddy; [-3, -38]
18:10:07; legoDBuddy; [-3, -38]
18:10:12; legoDBuddy; [-3, -38]
18:10:17; legoDBuddy; [-3, -38]
18:10:22; legoDBuddy; [-3, -38]
18:10:27; legoDBuddy; [-3, -38]
18:10:32; legoDBuddy; [-3, -38]
18:10:37; legoDBuddy; [-3, -38]
18:10:42; legoDBuddy; [-3, -38]
18:10:47; legoDBuddy; [-3, -39]
18:10:52; legoDBuddy; [-3, -39]
18:10:57; legoDBuddy; [-3, -39]
18:11:02; legoDBuddy; [-3, -39]
18:11:07; legoDBuddy; [-3, -39]
18:11:12; legoDBuddy; [-3, -39]
18:11:17; legoDBuddy; [-3, -39]
18:17:47; legoDBuddy; [-3, -39]
18:17:52; legoDBuddy; [-3, -39]
18:17:57; legoDBuddy; [-3, -39]
18:18:02; legoDBuddy; [-3, -39]
18:18:07; legoDBuddy; [-3, -39]
18:18:12; legoDBuddy; [-3, -39]
18:18:17; legoDBuddy; [-3, -39]
18:18:22; legoDBuddy; [-3, -38]
18:18:27; legoDBuddy; [-3, -36]
18:18:32; legoDBuddy; [-3, -34]
18:18:37; legoDBuddy; [-3, -32]
18:18:42; legoDBuddy; [-3, -30]
18:18:47; legoDBuddy; [-3, -28]
18:18:52; legoDBuddy; [-3, -26]
18:18:57; legoDBuddy; [-3, -26]
18:19:02; legoDBuddy; [-3, -26]
18:19:07; legoDBuddy; [-3, -25]
18:19:12; legoDBuddy; [-3, -23]
18:19:17; legoDBuddy; [-3, -21]
18:19:22; legoDBuddy; [-3, -19]
18:19:27; legoDBuddy; [-3, -17]
18:19:32; legoDBuddy; [-2, -16]
18:19:37; legoDBuddy; [-2, -16]
18:19:42; legoDBuddy; [-2, -14]
18:19:47; legoDBuddy; [-2, -12]
18:19:52; legoDBuddy; [-2, -11]
18:19:57; legoDBuddy; [-2, -9]
18:20:02; legoDBuddy; [-2, -7]
18:20:07; legoDBuddy; [-2, -4]
18:20:12; legoDBuddy; [-2, -3]
18:20:17; legoDBuddy; [-1, -1]
18:20:22; legoDBuddy; [-1, -1]
18:20:27; legoDBuddy; [-1, -1]
18:20:32; legoDBuddy; [-1, -1]
18:20:37; legoDBuddy; [-1, -1]
18:20:42; legoDBuddy; [-1, -1]
18:20:47; legoDBuddy; [-1, -1]
18:20:52; legoDBuddy; [-1, -1]
18:20:57; legoDBuddy; [-1, -1]
18:21:02; legoDBuddy; [-1, -1]
18:21:07; legoDBuddy; [-1, -1]
19:39:02; legoDBuddy; [-1, -1]
19:39:07; legoDBuddy; [-1, -1]
19:39:12; legoDBuddy; [-1, -1]
19:39:17; legoDBuddy; [-1, -1]
19:39:22; legoDBuddy; [-1, -1]
19:39:27; legoDBuddy; [-1, -1]
19:39:32; legoDBuddy; [-1, -1]
19:39:37; legoDBuddy; [-2, -1]
19:39:42; legoDBuddy; [-4, -1]
19:39:47; legoDBuddy; [-4, 0]
19:39:52; legoDBuddy; [-4, 0]
19:39:57; legoDBuddy; [-5, 0]
19:40:02; legoDBuddy; [-5, 0]
19:40:07; legoDBuddy; [-5, 0]
19:40:12; legoDBuddy; [-5, 0]
19:40:17; legoDBuddy; [-5, 0]
19:40:22; legoDBuddy; [-5, 0]
19:40:27; legoDBuddy; [-5, 0]
19:40:32; legoDBuddy; [-5, 0]
19:40:37; legoDBuddy; [-5, -1]
19:40:42; legoDBuddy; [-5, 0]
19:40:47; legoDBuddy; [-6, 0]
19:40:52; legoDBuddy; [-6, 0]
19:40:57; legoDBuddy; [-6, 0]
19:41:02; legoDBuddy; [-6, 0]
19:41:07; legoDBuddy; [-6, 0]
19:41:12; legoDBuddy; [-6, 0]
19:41:17; legoDBuddy; [-6, 0]
19:41:22; legoDBuddy; [-6, 0]
19:41:27; legoDBuddy; [-7, -1]
19:41:32; legoDBuddy; [-6, -1]
19:41:37; legoDBuddy; [-6, -1]
19:41:42; legoDBuddy; [-7, -1]
19:41:47; legoDBuddy; [-7, -1]
19:41:52; legoDBuddy; [-7, -1]
19:41:57; legoDBuddy; [-7, -1]
19:42:02; legoDBuddy; [-7, -1]
19:42:07; legoDBuddy; [-7, -1]
19:42:12; legoDBuddy; [-7, -1]
19:42:17; legoDBuddy; [-7, -1]
