22:00:26; Anip24; [1, -144]
22:00:31; Anip24; [2, -144]
22:00:36; Anip24; [3, -143]
22:00:41; Anip24; [4, -142]
22:00:46; Anip24; [5, -140]
22:00:51; Anip24; [6, -140]
22:00:56; Anip24; [6, -138]
22:01:01; Anip24; [7, -137]
22:01:06; Anip24; [8, -137]
22:01:11; Anip24; [9, -137]
22:01:16; Anip24; [10, -136]
22:01:21; Anip24; [10, -135]
22:01:26; Anip24; [11, -134]
22:01:31; Anip24; [11, -133]
22:01:36; Anip24; [12, -131]
22:01:41; Anip24; [12, -130]
22:01:46; Anip24; [11, -128]
22:01:51; Anip24; [12, -126]
22:01:56; Anip24; [12, -125]
22:02:01; Anip24; [12, -123]
22:02:06; Anip24; [12, -121]
22:02:11; Anip24; [11, -121]
22:02:16; Anip24; [10, -121]
22:02:21; Anip24; [8, -122]
22:02:26; Anip24; [6, -123]
22:02:31; Anip24; [5, -123]
22:02:36; Anip24; [4, -123]
22:02:41; Anip24; [4, -122]
22:02:46; Anip24; [4, -122]
22:02:51; Anip24; [3, -122]
22:02:56; Anip24; [1, -122]
22:03:01; Anip24; [-1, -122]
22:03:06; Anip24; [-2, -121]
22:03:11; Anip24; [-3, -122]
22:03:16; Anip24; [-4, -122]
22:03:21; Anip24; [-5, -122]
22:03:26; Anip24; [-5, -122]
22:03:31; Anip24; [-5, -123]
22:03:36; Anip24; [-5, -122]
22:03:41; Anip24; [-5, -122]
22:03:46; Anip24; [-4, -120]
22:03:51; Anip24; [-3, -119]
22:03:56; Anip24; [-3, -119]
22:04:01; Anip24; [-3, -119]
22:04:06; Anip24; [-2, -119]
22:04:11; Anip24; [-2, -119]
22:04:16; Anip24; [-2, -119]
22:04:21; Anip24; [-1, -119]
22:04:26; Anip24; [-1, -117]
22:04:31; Anip24; [-3, -117]
22:04:36; Anip24; [-3, -115]
22:04:41; Anip24; [-4, -114]
22:04:46; Anip24; [-4, -112]
22:04:51; Anip24; [-4, -110]
22:04:56; Anip24; [-5, -109]
22:05:01; Anip24; [-6, -107]
22:05:06; Anip24; [-7, -105]
22:05:11; Anip24; [-7, -104]
22:05:16; Anip24; [-7, -103]
22:05:21; Anip24; [-7, -102]
22:05:26; Anip24; [-7, -100]
22:05:31; Anip24; [-6, -99]
22:05:36; Anip24; [-6, -98]
22:05:41; Anip24; [-6, -97]
22:05:46; Anip24; [-7, -96]
22:05:51; Anip24; [-7, -94]
22:05:56; Anip24; [-7, -94]
22:06:01; Anip24; [-7, -94]
22:06:06; Anip24; [-7, -94]
22:06:11; Anip24; [-7, -94]
22:06:16; Anip24; [-7, -94]
22:06:21; Anip24; [-8, -93]
22:06:26; Anip24; [-8, -93]
22:06:31; Anip24; [-8, -93]
22:06:36; Anip24; [-8, -94]
22:06:41; Anip24; [-7, -94]
22:06:46; Anip24; [-7, -94]
22:06:51; Anip24; [-8, -94]
22:06:56; Anip24; [-8, -94]
22:07:01; Anip24; [-8, -94]
22:07:06; Anip24; [-8, -94]
22:07:11; Anip24; [-8, -93]
22:07:16; Anip24; [-8, -93]
22:07:21; Anip24; [-7, -94]
22:07:26; Anip24; [-7, -94]
22:07:31; Anip24; [-7, -94]
22:07:36; Anip24; [-7, -94]
22:07:41; Anip24; [-7, -94]
22:08:36; Anip24; [-7, -94]
22:08:41; Anip24; [-7, -94]
22:08:46; Anip24; [-7, -94]
22:08:51; Anip24; [-8, -94]
22:08:56; Anip24; [-7, -94]
22:09:01; Anip24; [-7, -94]
22:09:06; Anip24; [-7, -94]
22:09:11; Anip24; [-8, -93]
22:09:16; Anip24; [-8, -93]
22:09:21; Anip24; [-7, -94]
22:09:26; Anip24; [-7, -94]
22:09:31; Anip24; [-7, -94]
22:09:36; Anip24; [-7, -94]
22:09:41; Anip24; [-7, -94]
22:09:46; Anip24; [-7, -94]
22:09:51; Anip24; [-7, -94]
22:09:56; Anip24; [-7, -94]
22:10:01; Anip24; [-7, -94]
22:10:06; Anip24; [-7, -94]
22:10:11; Anip24; [-7, -94]
22:10:16; Anip24; [-7, -94]
22:10:21; Anip24; [-7, -94]
22:10:26; Anip24; [-7, -94]
22:10:31; Anip24; [-7, -94]
22:10:36; Anip24; [-7, -94]
22:10:41; Anip24; [-7, -94]
